DATA,STDEV.S (±5p),Max,STDEV.S (±20p),Mean Max value over 100 points
-0.17,0.239825694,0.19,0.224004627,-0.04919
-0.15,0.224823163,0.19,0.222660844,-0.04828
-0.17,0.206252273,0.32,0.226581314,-0.04697
-0.16,0.19659372,0.32,0.226595487,-0.04929
-0.31,0.167337438,0.32,0.222163927,-0.05242
0.12,0.17917995,0.32,0.220910479,-0.05434
0.19,0.21778221,0.32,0.219431713,-0.05485
-0.25,0.240117396,0.32,0.218903691,-0.04687
-0.33,0.250218087,0.32,0.215686855,-0.04091
-0.03,0.265079748,0.32,0.216784873,-0.04444
0.12,0.250813223,0.32,0.21612668,-0.04747
0.32,0.247338561,0.32,0.213991234,-0.05000
0.3,0.236704649,0.3,0.213937406,-0.04929
-0.29,0.228377678,0.1,0.216039556,-0.04626
-0.34,0.206062656,0.1,0.217023558,-0.04687
-0.08,0.206208191,0.1,0.219568186,-0.04616
0.04,0.205054317,0.1,0.21449521,-0.04384
0,0.180131265,0.1,0.226153987,-0.04576
0.05,0.17180327,0.1,0.224553944,-0.04970
0.1,0.161695561,0.1,0.230264185,-0.05242
0.08,0.132801972,0.09,0.221198037,-0.05131
0.09,0.13132195,0.09,0.231087994,-0.04828
-0.01,0.134346905,0.05,0.254683266,-0.04485
-0.32,0.134001357,0.05,0.265808697,-0.04354
-0.2,0.131224998,0.05,0.265017603,-0.04626
0.05,0.134941065,0.05,0.267397117,-0.04404
-0.03,0.170613865,0.01,0.264388385,-0.04222
-0.13,0.162223191,0.15,0.26365856,-0.04263
-0.03,0.160278167,0.25,0.261557224,-0.04384
-0.04,0.168182801,0.51,0.259673532,-0.04808
-0.24,0.168587717,0.51,0.256777241,-0.04788
-0.47,0.181869084,0.51,0.260773405,-0.04960
0.01,0.213779836,0.51,0.259889021,-0.05091
-0.04,0.281863926,0.51,0.254401563,-0.04980
-0.38,0.282327985,0.66,0.251988108,-0.05030
-0.21,0.322794615,0.66,0.250090349,-0.05182
0.15,0.321507811,0.66,0.246053006,-0.05010
0.25,0.325710412,0.66,0.245986161,-0.05141
0.51,0.38276031,0.66,0.245656397,-0.05232
0.01,0.401682824,0.66,0.252860052,-0.05232
-0.56,0.37563522,0.66,0.254847576,-0.04848
-0.21,0.383510104,0.66,0.254435296,-0.04162
0.41,0.39174203,0.66,0.262027828,-0.03667
0.66,0.391128902,0.66,0.269115075,-0.03333
0.48,0.362195327,0.48,0.270016611,-0.03141
-0.09,0.364439794,-0.03,0.26767921,-0.03162
-0.29,0.322718566,-0.03,0.266740092,-0.02960
-0.15,0.332606784,0.07,0.266318779,-0.02465
-0.08,0.307910849,0.07,0.266939713,-0.02455
-0.03,0.20987009,0.07,0.267040505,-0.02576
-0.12,0.102203007,0.07,0.26983753,-0.02545
-0.2,0.123354626,0.07,0.274450221,-0.02434
-0.32,0.121849385,0.07,0.272803419,-0.02384
-0.09,0.123553448,0.07,0.269974774,-0.02525
-0.14,0.125306896,0.37,0.275537128,-0.02717
-0.32,0.155563492,0.37,0.275622521,-0.03202
0.07,0.160646421,0.37,0.273777763,-0.03333
0,0.174840187,0.37,0.273047889,-0.03364
-0.05,0.221667236,0.37,0.272355908,-0.03333
-0.04,0.2593944,0.37,0.270364178,-0.03364
-0.44,0.262404961,0.37,0.257742564,-0.03646
-0.29,0.251316533,0.37,0.257650385,-0.03970
0.07,0.249574183,0.37,0.247263652,-0.04283
0.37,0.249216956,0.37,0.248236973,-0.04495
0.37,0.251872984,0.37,0.239919006,-0.04455
-0.2,0.253330542,0.29,0.214436086,-0.04404
-0.19,0.222534982,0.29,0.20117622,-0.04212
-0.09,0.20808652,0.29,0.201486997,-0.04030
-0.07,0.215882965,0.29,0.198549279,-0.03919
0.07,0.229231919,0.29,0.203374903,-0.03838
0.05,0.219059975,0.29,0.204945229,-0.03879
0.21,0.21616492,0.29,0.207789878,-0.03960
0.29,0.230276514,0.29,0.212616719,-0.03939
-0.11,0.2326097,0.26,0.21455793,-0.03586
-0.39,0.23242203,0.26,0.211608039,-0.02970
-0.39,0.239169016,0.26,0.211447838,-0.03232
0.01,0.241826384,0.26,0.213024936,-0.03434
0.26,0.229584605,0.26,0.211784069,-0.03343
0.13,0.210134156,0.19,0.213071978,-0.03364
0.09,0.216211176,0.19,0.213211223,-0.03596
-0.18,0.199248588,0.19,0.214888006,-0.03848
-0.14,0.179240823,0.19,0.215003412,-0.04343
-0.02,0.19253335,0.19,0.206234231,-0.04556
-0.27,0.16821523,0.19,0.201961313,-0.04152
-0.26,0.158073631,0.24,0.201961313,-0.04030
-0.22,0.171718586,0.24,0.197048824,-0.04343
0.1,0.174527935,0.24,0.191004224,-0.04707
0.19,0.191942226,0.24,0.18887497,-0.05253
0.01,0.215056018,0.24,0.186790222,-0.05303
-0.01,0.214666761,0.24,0.18745424,-0.05242
-0.36,0.201895563,0.24,0.18915883,-0.05061
-0.23,0.187940997,0.24,0.19910959,-0.05061
0.16,0.191596166,0.24,0.206020943,-0.04687
0.24,0.196075125,0.24,0.202752652,-0.04283
0.19,0.198700323,0.24,0.196603214,-0.04313
0.12,0.197576222,0.24,0.199780611,-0.04202
-0.05,0.165293128,0.24,0.195589237,-0.04253
0.17,0.131743553,0.24,0.189727904,-0.03960
0.24,0.132760892,0.24,0.190148278,-0.03899
0.16,0.125401174,0.18,0.186297194,-0.04515
0.04,0.1213335,0.18,0.184833588,-0.04677
-0.19,0.150653124,0.18,0.184113812,-0.04071
0.04,0.169662767,0.18,0.182994048,-0.03505
0.18,0.16377368,0.18,0.184962359,-0.03303
0.13,0.147204249,0.13,0.185424896,-0.03545
0.07,0.144171615,0.13,0.183026422,-0.03768
-0.22,0.152530176,0.13,0.18000646,-0.04061
-0.22,0.189016594,0.13,0.177541036,-0.04566
0.02,0.209943715,0.13,0.17771529,-0.04909
-0.02,0.191942226,0.13,0.176434792,-0.04525
0.13,0.180459011,0.13,0.179596878,-0.04061
-0.18,0.175633917,0.13,0.182327453,-0.03788
-0.42,0.178381613,0.13,0.17967209,-0.04242
-0.37,0.1780143,0.13,0.17967209,-0.04616
-0.05,0.169298016,0.13,0.177154511,-0.05020
0.01,0.187053711,0.16,0.171776916,-0.05434
-0.28,0.175219343,0.16,0.168110139,-0.05283
-0.27,0.175219343,0.16,0.167444806,-0.05131
-0.21,0.15448448,0.16,0.168152623,-0.04697
-0.13,0.150054536,0.16,0.164281044,-0.04848
0.13,0.154237126,0.16,0.159366131,-0.05010
0.04,0.155715358,0.16,0.165493992,-0.05101
-0.13,0.14113823,0.16,0.164655417,-0.05293
-0.02,0.122889455,0.16,0.163957832,-0.05758
0.16,0.115569735,0.16,0.164885275,-0.06071
0.05,0.115781927,0.14,0.160913436,-0.05687
-0.17,0.133777291,0.14,0.157605982,-0.05212
-0.11,0.147531199,0.14,0.16881779,-0.05141
-0.02,0.163879113,0.14,0.175775453,-0.05505
0.11,0.171060861,0.14,0.175992047,-0.05273
0.14,0.152016745,0.14,0.176836668,-0.04778
-0.25,0.147802079,0.02,0.176968129,-0.05192
-0.24,0.150351104,0.1,0.177540412,-0.05970
-0.29,0.15416638,0.3,0.179102908,-0.05727
-0.23,0.153172511,0.3,0.185435049,-0.04929
-0.08,0.135673405,0.3,0.180239167,-0.04990
0,0.128176015,0.3,0.203722283,-0.05929
0.02,0.175011688,0.3,0.221850668,-0.06242
-0.2,0.166678787,0.3,0.220931282,-0.05808
-0.16,0.151687478,0.34,0.23056097,-0.05879
-0.09,0.151687478,0.34,0.229761299,-0.06465
0.1,0.153065642,0.34,0.23026178,-0.06758
0.3,0.152923035,0.34,0.228951338,-0.06455
